"New ID","Assessment Actual Start Date","Assessment Completed"
13676,12/27/2013,02/25/2014
122333,06/18/2013,08/20/2013
210460,11/14/2013,01/20/2014
220414,12/11/2013,02/03/2014
292379,11/19/2013,03/03/2014
326357,07/29/2013,08/16/2013
448779,09/27/2013,02/06/2014
457441,09/16/2013,10/28/2013
459396,06/05/2013,07/25/2013
475537,11/15/2013,01/06/2014
526031,10/10/2103,12/11/2013
529093,07/08/2013,08/21/2013
552163,10/31/2013,11/14/2013
567068,05/20/2013,07/02/2013
637219,07/23/2013,09/02/2013
658379,11/27/2013,01/21/2014
717055,11/07/2013,11/29/2013
771297,07/01/2013,08/15/2013
821763,07/22/2013,08/06/2013
826184,01/17/2014,03/26/2014
834679,11/13/2013,11/27/2013
843087,07/15/2013,09/03/2013
844092,01/13/2014,02/24/2014
866559,08/30/2013,10/25/2013
956496,11/19/2013,01/09/2014
1015546,08/09/2013,11/22/2013
1019805,07/10/2013,09/13/2013
1031530,09/06/2013,10/28/2013
1130867,11/19/2013,01/09/2014
1322191,10/17/2013,01/08/2014
1435096,02/24/2014,03/13/2014
1557888,01/31/2014,03/31/2014
1598327,09/27/2013,11/18/2013
1602746,09/26/2013,11/28/2013
1870199,09/30/2013,10/11/2013
1937303,09/17/2013,11/14/2013
1943772,12/10/2013,01/15/2014
1983778,01/21/2014,02/12/2014
1984389,12/05/2013,02/11/2014
2348252,06/11/2013,08/13/2013
2380240,10/04/2013,10/18/2013
2380240,10/30/2013,01/08/2014
2435456,12/16/2013,03/03/2014
2458870,11/12/2013,12/06/2013
2482837,12/03/2013,02/07/2014
2504218,07/17/2013,09/20/2013
2705146,12/27/2013,03/04/2014
2744448,06/11/2013,07/30/2013
2865141,08/30/2013,10/11/2013
2884207,03/25/2013,08/04/2013
2932256,08/29/2013,09/18/2013
3048433,09/13/2013,09/27/2013
3050070,10/14/2103,11/25/2013
3093543,10/15/2013,11/07/2013
3140480,11/28/2013,12/16/2013
3250374,07/03/2013,08/20/2013
3293019,05/16/2013,07/05/2013
3332783,07/12/2013,08/27/2013
3393191,09/20/2013,11/07/2013
3417719,11/14/2013,11/15/2013
3421361,04/23/2013,08/22/2013
3437648,11/08/2013,03/04/2014
3508253,01/15/2014,02/04/2014
3562190,07/19/2013,09/13/2013
3574993,11/19/2013,01/10/2014
3656136,01/21/2014,03/25/2014
3785750,07/19/2013,10/30/2013
3907462,01/21/2014,03/26/2014
4000446,12/20/2013,03/19/2014
4070272,08/30/2013,10/11/2013
4118264,09/19/2013,11/07/2013
4119939,07/18/2013,09/19/2013
4468140,09/18/2013,11/04/2013
4542489,11/21/2013,01/28/2014
4542489,07/10/2013,11/04/2013
4583501,07/25/2013,09/24/2013
4638557,06/20/2013,09/13/2013
4818357,07/30/2013,10/02/2013
4824005,07/08/2013,11/14/2013
4948971,09/11/2013,12/14/2013
4975652,10/04/2013,11/22/2013
5328102,07/11/2013,11/06/2013
5458384,07/25/2013,09/13/2013
5525006,11/22/2013,01/29/2014
5711381,09/06/2013,11/07/2013
5750437,07/12/2013,11/13/2013
5763105,12/30/2013,02/18/2014
5814273,01/17/2014,03/27/2014
5900718,01/15/2014,03/24/2014
5916422,06/17/2013,08/19/2013
5978332,05/28/2013,10/29/2013
6069861,01/03/2013,02/24/2014
6069861,10/23/2103,11/12/2013
6181073,05/30/2013,07/19/2013
6378935,02/13/2014,02/27/2013
6477348,09/30/2013,11/06/2013
6562670,07/03/2013,09/04/2013
6585483,11/06/2013,12/17/2013
6625063,06/07/2013,08/05/2013
6770677,07/02/2013,09/04/2013
6915895,01/23/2014,02/04/2014
7238162,06/13/2013,07/09/2013
7265073,10/28/2013,12/17/2013
7466413,01/13/2014,02/24/2014
7502185,06/12/2013,11/13/2013
7531226,07/03/2013,08/14/2013
7696192,11/07/2013,11/29/2013
7736556,08/19/2013,09/02/2013
7753779,12/12/2013,01/13/2014
7990890,06/07/2013,09/13/2013
8156199,11/08/2013,01/15/2014
8163520,02/10/2014,03/21/2014
8187894,07/11/2013,08/30/2013
8266884,01/28/2014,03/17/2014
8272869,06/13/2013,08/05/2013
8591961,10/25/2013,11/22/2013
8623353,11/18/2013,12/05/2013
8732247,11/14/2013,12/17/2013
8841883,03/15/2013,08/02/2013
8942435,11/21/2013,01/22/2014
9177729,11/14/2013,02/04/2014
9367069,02/11/2014,03/12/2014
9423763,07/15/2013,09/02/2013
9425203,11/22/2013,12/04/2013
9452153,11/28/2013,02/05/2014
9498827,07/18/2013,09/11/2013
9530245,07/17/2013,10/17/2013
9586941,07/22/2013,11/04/2013
9613783,09/23/2013,11/25/2013
9616668,09/13/2013,10/22/2013
9628897,07/19/2013,08/15/2013
9758220,11/25/2103,01/23/2014
9993610,10/23/2103,12/16/2013
10047280,08/09/2013,11/15/2013
10396992,07/02/2013,07/20/2013
10618800,11/28/2013,02/04/2014
10765706,01/09/2014,03/18/2014
10765706,05/31/2013,08/29/2013
10778020,05/17/2013,07/08/2013
10822010,12/02/2013,02/06/2014
10924394,09/17/2013,11/01/2013
11156449,06/12/2013,07/25/2013
11289498,11/06/2013,02/07/2014
11327563,02/10/2014,03/28/2014
11417050,07/18/2013,08/07/2013
11560962,11/11/2013,01/16/2014
11635018,10/17/2013,10/21/2013
11676702,10/11/2013,11/14/2013
11741616,02/13/2014,03/04/2014
11749347,01/22/2014,03/26/2014
11797047,01/29/2014,03/31/2014
11797324,12/16/2013,01/29/2014
11809900,06/19/2013,08/08/2013
11905738,11/08/2013,01/15/2014
11932285,08/08/2013,10/18/2013
11981182,10/30/2013,12/03/2013
12069154,07/26/2013,08/23/2013
12371659,09/19/2013,10/16/2013
12389319,07/15/2013,10/18/2013
12389319,01/17/2014,03/30/2014
12597969,07/26/2013,10/17/2013
12597969,12/31/2013,01/21/2014
12681704,10/29/2013,01/28/2014
12712958,09/11/2013,10/16/2013
12733167,11/20/2013,03/11/2014
12733205,11/27/2013,01/21/2014
12788546,07/25/2013,09/24/2013
12933407,08/21/2013,10/11/2013
12947495,10/10/2013,12/11/2013
12991667,10/24/2013,03/28/2014
12991667,10/24/2013,12/20/2013
13145740,05/28/2013,07/14/2013
13237262,08/14/2013,12/27/2013
13264891,09/13/2013,10/29/2013
13435131,08/30/2013,10/31/2013
13630851,08/02/2013,10/02/2013
13639623,11/18/2013,01/09/2014
13691393,07/10/2013,07/24/2013
14010194,08/19/2013,09/26/2013
14028367,07/05/2013,07/18/2013
14051138,12/19/2013,01/30/2014
14214226,10/28/2013,12/30/2013
14214799,01/06/2014,02/07/2014
14263418,11/27/2013,01/31/2014
14442746,01/13/2014,01/23/2014
14442746,07/15/2013,08/22/2013
14528892,05/03/2013,10/18/2013
14549562,07/02/2013,08/06/2013
14567013,08/21/2013,10/10/2013
14567013,01/16/2014,03/03/2014
14783023,02/28/2014,03/04/2014
14796807,07/05/2013,07/19/2013
14806982,09/16/2013,10/03/2013
14897553,01/09/2014,02/19/2014
15148543,12/16/2013,03/28/2014
15152099,08/09/2013,10/14/2013
15159673,07/10/2013,08/13/2013
15259336,09/06/2013,11/03/2013
15337913,10/14/2013,11/25/2013
15400859,09/06/2013,09/19/2013
15505078,02/05/2014,02/21/2014
15552718,02/18/2014,02/04/2014
15651254,08/21/2013,09/10/2013
15856230,09/23/2013,11/11/2013
15971677,10/01/2013,12/06/2013
15975401,11/15/2013,01/07/2014
16005929,11/28/2013,02/13/2014
16097652,09/12/2013,10/14/2013
16117800,07/12/2013,07/30/2013
16186390,10/15/2013,12/11/2013
16186390,01/13/2014,01/27/2014
16204651,08/12/2103,08/30/2013
16204651,12/09/2013,01/13/2014
16226991,11/14/2013,01/03/2014
16330164,10/10/2013,12/14/2013
16352617,10/29/2013,01/28/2014
16354275,02/11/2014,03/12/2014
16459169,12/04/2013,12/16/2013
16542346,03/21/2014,03/30/2014
16644276,10/03/2013,11/05/2013
16647559,07/15/2013,09/16/2013
16653679,11/14/2013,01/10/2014
16678923,10/14/2013,11/25/2013
16727835,10/17/2013,11/01/2013
17251766,07/03/2013,07/22/2013
17272234,11/20/2013,01/24/2014
17355852,10/03/2013,10/14/2013
17522930,01/27/2014,02/10/2014
17549288,10/18/2013,11/29/2013
17562556,12/31/2013,01/22/2014
17563546,07/25/2013,09/24/2013
17569881,09/27/2013,11/01/2013
17581294,11/14/2013,01/10/2014
17618376,09/16/2013,12/20/2013
17865055,10/25/2013,12/10/2013
18074363,10/01/2013,10/14/2013
18078230,08/14/2013,09/06/2013
18160331,02/24/2014,02/27/2014
18260894,03/06/2014,03/28/2014
18429813,09/10/2013,10/11/2013
18448541,06/14/2013,09/10/2013
18468352,06/18/2013,08/07/2013
18562646,07/25/2013,07/25/2013
18569379,11/25/2013,01/30/2014
18592882,08/21/2013,11/07/2013
18724401,10/28/2013,01/02/2014
18749000,07/05/2013,08/08/2013
18828605,11/20/2013,02/27/2014
18851885,07/05/2013,09/06/2013
18899444,07/17/2013,10/25/2013
18986289,10/17/2103,11/01/2013
19172237,11/08/2013,01/15/2014
19233500,02/15/2013,07/08/2013
19311791,11/13/2013,12/10/2013
19356077,10/28/2013,01/10/2014
19386373,07/09/2013,07/10/2013
19456972,05/28/2013,07/14/2013
19485009,07/16/2013,09/17/2013
19526414,10/01/2013,12/03/2013
19570454,01/23/2014,03/27/2014
19635344,12/03/2013,12/05/2013
19684530,07/12/2013,10/28/2013
19694696,07/03/2013,08/13/2013
19847032,06/17/2013,07/19/2013
19867844,11/21/2013,01/10/2014
19867844,01/30/2014,03/18/2014
19921630,06/19/2013,08/30/2013
19977865,12/19/2013,02/18/2014
19983052,07/05/2013,08/19/2013
20002082,06/11/2013,09/11/2013
20043759,07/01/2013,07/16/2013
20073384,07/25/2013,10/31/2013
20073384,11/25/2013,01/29/2014
20149320,10/29/2013,01/28/2014
20203211,02/04/2014,03/21/2014
20216193,12/30/2013,02/13/2014
20216564,11/14/2013,01/10/2014
20277747,10/04/2013,11/22/2013
20289193,12/03/2013,02/26/2014
20504316,11/07/2013,01/14/2014
20608614,10/04/2013,01/29/2014
20657760,12/27/2013,03/10/2014
20661268,05/16/2013,07/05/2013
20702587,07/11/2013,11/13/2013
20710184,09/19/2013,11/08/2013
20745552,07/18/2013,09/19/2013
20755361,10/31/2013,12/03/2013
20934046,07/18/2013,10/24/2013
20943900,06/10/2013,07/30/2013
20990914,08/19/2013,10/08/2013
21083474,09/02/2013,09/19/2013
