"New ID","Started Date","Assessment End Date"
13676,10/07/2014,10/13/2014
19099,05/30/2014,07/11/2014
37647,09/23/2014,11/10/2014
44707,05/01/2014,06/05/2014
122333,02/04/2015,02/10/2015
129650,11/13/2014,01/13/2015
202836,10/20/2014,12/07/2014
257260,03/18/2015,03/30/2015
280937,12/17/2013,04/09/2014
306939,02/10/2015,03/24/2015
448779,06/09/2014,07/07/2014
470396,08/13/2014,09/19/2014
486249,05/29/2014,06/13/2014
516306,11/25/2014,01/26/2015
658379,08/27/2014,08/28/2014
658379,06/03/2014,06/25/2014
771297,02/18/2014,04/22/2014
784527,04/24/2014,04/30/2014
826184,07/17/2014,08/01/2014
834679,08/19/2014,09/26/2014
843257,11/04/2014,01/06/2015
844092,11/04/2014,12/08/2014
857675,02/18/2015,
903259,06/02/2014,07/21/2014
929524,03/25/2014,04/02/2014
931546,05/22/2014,05/23/2014
966379,09/02/2014,09/26/2014
1024607,05/21/2014,06/18/2014
1031530,03/19/2014,05/01/2014
1059786,09/22/2014,12/03/2014
1084328,03/15/2014,05/02/2014
1162698,08/08/2014,09/05/2014
1165313,10/27/2014,01/13/2015
1195311,09/17/2014,09/23/2014
1195551,01/15/2015,01/19/2015
1238333,05/02/2014,06/09/2014
1249343,09/09/2014,02/04/2015
1271432,07/31/2014,09/14/2014
1282946,12/04/2014,12/04/2014
1381623,09/25/2014,10/16/2014
1428926,10/24/2014,12/03/2014
1468726,02/11/2015,03/24/2015
1469669,11/17/2014,02/06/2015
1481084,07/07/2014,08/14/2014
1491332,10/24/2014,11/17/2014
1608407,10/27/2014,11/28/2014
1628455,03/04/2015,
1663232,05/13/2014,06/05/2014
1663232,10/03/2014,10/13/2014
1669855,03/04/2015,
1684849,10/16/2014,01/14/2015
1712920,02/20/2014,04/29/2014
1744440,12/08/2014,03/04/2015
1744440,12/30/2013,04/16/2014
1799668,07/04/2014,08/18/2014
1799880,10/29/2014,12/02/2014
1839641,02/25/2015,03/09/2015
1897075,01/03/2014,04/09/2014
1899724,01/16/2015,01/19/2015
1928270,05/14/2014,07/03/2014
1947472,01/22/2014,04/29/2014
2017535,03/19/2015,03/19/2015
2174557,06/03/2014,06/18/2014
2215762,03/04/2015,
2233057,07/08/2014,07/14/2014
2276531,07/30/2014,09/18/2014
2291739,03/13/2015,03/12/2015
2302805,02/23/2015,02/24/2015
2385607,05/07/2014,05/28/2014
2385607,02/26/2014,04/14/2014
2395285,05/01/2014,06/02/2014
2421443,10/17/2014,11/27/2014
2499643,07/01/2014,07/07/2014
2507535,03/31/2014,04/01/2014
2515238,12/16/2014,02/11/2015
2556344,07/28/2014,08/22/2014
2556344,06/23/2014,07/22/2014
2593301,02/24/2014,04/10/2014
2593301,02/26/2014,04/14/2014
2607590,06/12/2014,06/23/2014
2762164,05/19/2014,05/21/2014
2788208,03/30/2015,03/30/2015
2810903,02/27/2014,04/23/2014
2810903,07/16/2014,08/08/2014
2820406,12/29/2014,02/06/2015
2820406,04/04/2014,05/08/2014
2823639,01/03/2014,04/09/2014
2846921,05/12/2014,05/20/2014
2858418,03/09/2015,03/23/2015
2865141,03/19/2014,04/03/2014
2866581,10/06/2014,11/17/2014
