New ID,pro Relationship Start Date,pro Relationship End Date
13676,12/31/2013,03/19/2014
13676,09/10/2014,09/15/2014
13676,09/15/2014,10/14/2014
13676,10/20/2014,06/26/2015
19099,05/20/2014,10/01/2014
26387,02/06/2012,04/17/2012
37647,09/23/2014,11/11/2014
44707,04/22/2014,06/09/2014
46167,09/11/2013,04/15/2014
46167,04/15/2014,06/06/2014
46167,06/06/2014,03/13/2015
46167,06/19/2014,09/15/2014
57680,05/17/2015,06/29/2015
65034,07/15/2016,10/06/2016
65034,12/09/2016,03/01/2017
67425,07/25/2012,08/23/2012
67425,07/25/2012,08/23/2012
97347,12/12/2014,01/28/2015
107699,11/10/2016,11/25/2016
122333,06/21/2013,10/22/2013
122333,12/24/2014,03/11/2015
129650,07/02/2012,10/22/2012
129650,11/07/2014,01/19/2015
134067,04/25/2016,07/04/2016
163054,07/27/2016,08/02/2016
163054,08/02/2016,03/14/2017
163054,01/02/2017,02/22/2017
163054,08/31/2017,
174465,03/29/2012,05/22/2012
174465,05/22/2012,07/31/2012
174465,07/31/2012,03/26/2013
178145,11/11/2011,07/09/2012
178145,07/09/2012,12/19/2012
178145,12/17/2012,06/13/2013
178145,06/13/2013,08/15/2014
178145,08/15/2014,01/18/2015
178145,01/19/2015,08/27/2015
178145,08/27/2015,04/15/2016
178145,08/15/2017,
178188,06/10/2016,09/13/2016
178188,09/13/2016,10/27/2016
178188,10/27/2016,03/14/2017
178188,07/20/2017,
200159,09/04/2012,10/19/2012
200159,10/19/2012,04/12/2013
200159,03/22/2013,11/24/2015
200159,12/11/2013,04/02/2014
200159,11/24/2015,05/26/2016
201885,11/13/2012,12/20/2012
202836,10/09/2014,12/10/2014
203282,05/23/2011,01/18/2013
208424,04/01/2013,07/11/2013
210460,11/14/2013,04/10/2014
210460,04/10/2014,05/21/2014
210460,05/21/2014,08/18/2014
220414,12/17/2013,03/12/2014
220414,11/12/2015,02/15/2016
232385,01/20/2017,02/02/2017
236521,08/15/2016,10/28/2016
257260,03/02/2012,11/26/2012
257260,11/27/2012,03/31/2013
257260,01/28/2015,04/01/2015
257260,06/17/2015,08/12/2015
265388,08/23/2011,11/06/2014
272661,04/22/2013,04/24/2013
280937,12/13/2013,02/04/2014
280937,02/04/2014,01/02/2015
280937,01/02/2015,09/22/2015
280937,02/15/2016,08/16/2016
280937,11/13/2017,
292379,11/22/2013,03/17/2014
306939,02/03/2015,03/26/2015
309610,02/05/2013,04/19/2013
323644,10/31/2017,
326357,07/31/2013,09/09/2013
326357,09/09/2013,05/02/2014
326357,05/02/2014,06/02/2014
326357,06/02/2014,09/05/2014
326357,10/14/2014,01/14/2015
354654,07/31/2012,09/12/2012
355476,07/03/2012,10/08/2012
368837,07/20/2011,04/30/2012
368837,05/01/2012,07/16/2012
368837,07/16/2012,12/03/2012
368837,12/03/2012,03/22/2013
368837,09/12/2013,02/06/2015
368837,02/12/2015,03/10/2015
368837,03/10/2015,03/10/2015
368837,03/12/2015,07/06/2016
369233,09/18/2014,12/30/2014
370003,05/09/2013,09/25/2013
370003,09/25/2013,09/26/2013
402703,01/25/2013,01/25/2013
402703,01/25/2013,04/01/2013
416444,08/02/2012,12/03/2012
416444,08/06/2012,09/26/2012
416444,12/03/2012,03/18/2013
426390,10/04/2011,07/16/2012
426390,07/16/2012,06/08/2013
426390,06/08/2013,09/02/2013
426390,09/02/2013,09/03/2013
426390,09/03/2013,08/27/2015
426390,08/27/2015,01/31/2017
426390,01/16/2017,02/22/2017
426390,01/31/2017,01/31/2017
426390,01/31/2017,01/31/2017
426390,07/27/2017,
448779,09/30/2013,02/28/2014
448779,05/28/2014,02/04/2016
457441,09/17/2013,12/02/2013
457441,06/17/2016,07/08/2016
457441,07/08/2016,02/07/2017
459396,05/28/2013,08/30/2013
470396,07/29/2014,04/15/2015
475537,11/20/2013,01/14/2014
475537,02/11/2014,03/19/2014
486249,05/19/2014,06/10/2014
486249,06/10/2014,12/05/2014
486249,12/19/2014,01/02/2015
486249,01/02/2015,09/22/2015
502390,04/01/2016,06/10/2016
503612,10/23/2017,
510830,10/23/2017,
516306,11/25/2014,01/26/2015
522324,10/27/2017,
526031,10/25/2013,03/26/2014
526031,03/26/2014,03/25/2015
526031,09/11/2015,09/21/2015
526031,09/21/2015,09/29/2015
526031,09/29/2015,11/25/2016
526031,11/25/2016,01/27/2017
529093,07/08/2013,08/30/2013
529093,09/12/2013,10/24/2013
529093,10/24/2013,03/07/2014
529093,03/11/2014,08/11/2014
545082,12/13/2016,03/01/2017
545082,03/01/2017,03/13/2017
552163,10/31/2013,01/13/2014
552163,01/13/2014,08/06/2014
552163,08/06/2014,07/17/2015
552163,08/03/2015,01/25/2016
566321,07/28/2017,
567068,05/24/2013,07/18/2013
567068,07/18/2013,12/09/2015
584990,10/23/2015,11/09/2016
584990,11/09/2016,03/14/2017
584990,03/14/2017,
589301,08/08/2016,09/08/2016
599590,07/22/2015,09/22/2015
612372,06/27/2016,08/11/2016
612649,03/09/2012,07/16/2012
612649,07/16/2012,08/27/2015
612649,08/27/2015,01/31/2017
612649,10/10/2016,02/22/2017
612649,01/31/2017,01/31/2017
612649,01/31/2017,01/31/2017
612649,09/20/2017,
637219,01/31/2012,06/25/2012
637219,06/25/2012,10/25/2012
637219,10/25/2012,11/20/2012
637219,11/20/2012,12/07/2012
637219,12/07/2012,03/01/2013
637219,03/01/2013,03/14/2013
637219,03/14/2013,04/23/2013
637219,04/23/2013,07/22/2013
637219,07/23/2013,04/24/2014
637219,04/24/2014,08/07/2014
637219,08/07/2014,09/03/2015
637219,11/13/2017,
641239,10/23/2017,
648063,01/20/2017,03/01/2017
648063,03/01/2017,03/01/2017
651713,01/31/2012,04/04/2012
651713,11/14/2012,02/06/2013
658379,04/25/2012,05/02/2012
658379,05/02/2012,08/29/2012
658379,08/29/2012,03/28/2013
658379,04/02/2013,11/08/2013
658379,11/26/2013,02/17/2014
658379,06/03/2014,06/27/2014
658379,08/12/2014,09/02/2014
658379,09/02/2014,12/12/2014
658379,12/12/2014,02/13/2015
658379,02/20/2015,07/30/2015
658379,03/04/2015,12/18/2015
679575,10/02/2009,07/16/2012
679575,07/16/2012,11/21/2012
685447,03/24/2016,05/13/2016
708809,11/21/2016,01/05/2017
717055,02/14/2013,08/05/2013
717055,05/02/2013,05/02/2013
717055,11/12/2013,01/06/2014
724118,01/19/2010,07/16/2012
724118,07/16/2012,07/16/2012
724118,07/16/2012,01/06/2013
724118,01/07/2013,07/31/2013
724118,08/01/2013,09/12/2013
724118,09/12/2013,01/17/2016
724118,01/18/2016,01/31/2017
724118,01/31/2017,02/22/2017
724118,02/22/2017,02/22/2017
724118,09/20/2017,
729188,01/14/2010,07/16/2012
729188,07/16/2012,06/05/2015
729188,06/05/2015,06/11/2015
729188,06/11/2015,09/25/2015
729188,09/25/2015,10/28/2015
743330,09/14/2015,02/15/2016
747442,10/31/2017,
771297,02/07/2012,09/03/2012
771297,02/07/2014,02/27/2014
771297,02/27/2014,03/24/2014
771297,03/28/2014,05/15/2014
771297,05/15/2014,09/01/2014
771297,09/01/2014,10/31/2014
772954,08/21/2015,09/29/2015
775862,10/23/2017,
784527,11/04/2013,12/16/2013
784527,12/27/2013,03/03/2014
784527,03/03/2014,11/25/2014
784527,08/19/2014,04/14/2015
786922,09/16/2011,04/30/2012
786922,05/01/2012,07/16/2012
786922,07/16/2012,12/24/2012
804313,11/06/2012,02/27/2013
806629,01/16/2012,07/16/2012
806629,07/16/2012,08/12/2015
806629,08/12/2015,04/11/2016
806629,04/08/2016,12/20/2016
821763,07/23/2013,09/25/2013
821763,09/25/2013,11/01/2013
826184,02/11/2014,04/10/2014
826184,07/10/2014,07/11/2014
826184,07/11/2014,08/11/2014
832689,05/05/2016,07/20/2016
832689,09/30/2016,12/02/2016
833048,02/01/2016,04/11/2016
833048,04/11/2016,04/27/2016
833048,04/28/2016,10/25/2016
833048,10/18/2017,
834679,11/13/2013,01/06/2014
834679,08/07/2014,09/26/2014
838007,04/05/2016,07/15/2016
840518,06/17/2016,07/22/2016
843087,07/01/2013,09/23/2013
843257,11/10/2014,12/03/2014
844092,01/29/2013,10/24/2013
844092,10/25/2013,07/02/2014
844092,07/02/2014,06/30/2015
844092,06/30/2015,11/01/2015
854835,10/11/2016,11/03/2016
855177,08/19/2016,10/03/2016
855177,10/23/2017,
857675,02/03/2015,05/01/2015
858788,02/29/2016,04/29/2016
862288,10/10/2016,11/04/2016
866559,08/30/2013,02/20/2014
866559,10/24/2017,
872767,10/31/2017,
896321,10/14/2016,11/08/2016
897334,07/08/2016,08/02/2016
903259,05/20/2014,07/30/2014
912787,10/23/2014,12/05/2014
912787,02/26/2015,03/25/2015
922693,04/02/2012,08/20/2012
922693,03/17/2015,04/20/2015
922693,04/20/2015,05/22/2015
922693,05/22/2015,07/10/2015
922693,07/10/2015,05/04/2016
922693,04/13/2016,01/11/2017
929084,12/20/2011,12/03/2012
929084,12/03/2012,04/08/2013
929524,01/22/2014,04/30/2014
929524,05/01/2014,05/09/2014
929524,05/12/2014,07/16/2014
929524,07/16/2014,08/12/2015
929524,08/12/2015,03/22/2016
929524,02/24/2016,01/31/2017
929524,01/31/2017,02/22/2017
929524,02/22/2017,02/22/2017
929524,09/21/2017,
931546,04/23/2014,07/03/2014
931546,07/03/2014,07/23/2014
931546,07/23/2014,07/07/2015
931546,11/13/2017,
935321,11/24/2015,01/14/2016
940910,08/25/2016,10/25/2016
943054,06/11/2013,06/13/2013
956496,11/19/2013,08/12/2014
956496,08/12/2014,02/19/2015
957459,03/07/2016,10/12/2016
961923,05/15/2013,06/13/2014
966379,08/20/2014,10/08/2014
966379,01/26/2016,04/05/2016
971448,10/24/2017,
972712,11/21/2016,11/21/2016
974108,12/15/2011,04/11/2016
974108,04/11/2016,04/13/2016
974108,04/13/2016,04/19/2016
974108,04/19/2016,08/11/2016
974760,05/18/2015,08/17/2015
974760,08/17/2015,04/14/2016
985098,01/05/2017,03/01/2017
985098,03/01/2017,03/07/2017
985375,09/21/2015,11/27/2015
985375,10/18/2017,
994982,12/29/2015,04/27/2016
1004312,04/08/2011,07/16/2012
1004312,07/16/2012,01/23/2015
1004312,01/26/2015,11/06/2015
1004312,11/06/2015,03/14/2017
1004312,10/04/2017,
1015546,08/09/2013,05/01/2014
1019279,04/04/2012,07/16/2012
1019279,07/16/2012,11/15/2012
1019805,07/10/2013,09/30/2013
1019805,02/06/2017,03/01/2017
1024607,03/28/2014,07/17/2014
1024607,07/21/2014,06/16/2015
1024607,06/16/2015,05/20/2016
1024607,05/25/2016,11/09/2016
1024607,07/06/2016,07/06/2016
1024607,11/09/2016,
1031530,09/06/2013,11/01/2013
1031530,03/05/2014,05/07/2014
1031530,02/21/2017,03/01/2017
1040801,06/07/2012,08/17/2012
1047977,08/08/2016,09/08/2016
1059786,09/15/2014,12/03/2014
1059786,12/03/2014,02/24/2016
1062615,10/23/2017,
1068505,06/13/2016,07/07/2016
1083889,10/25/2012,02/25/2013
1084328,03/13/2014,05/08/2014
1108445,12/13/2016,02/22/2017
1108445,02/23/2017,03/01/2017
1108445,03/01/2017,
1118280,11/13/2017,
1128698,09/06/2016,12/12/2016
1128698,12/12/2016,02/08/2017
1128698,02/08/2017,02/20/2017
1128698,02/20/2017,
1129965,11/03/2017,
1130867,11/19/2013,08/12/2014
1130867,08/12/2014,02/19/2015
1145509,08/01/2015,09/30/2015
1145509,01/04/2016,01/27/2016
1145509,01/29/2016,04/15/2016
1149777,09/29/2011,04/13/2012
1149777,03/18/2013,05/21/2013
1149777,05/15/2013,09/12/2013
1149777,09/09/2013,10/04/2013
1149777,09/20/2013,03/18/2015
1149777,12/03/2014,03/03/2015
1149777,03/18/2015,06/12/2015
1149777,06/12/2015,07/14/2015
1162698,08/07/2014,09/05/2014
1165313,10/27/2014,01/14/2015
1165313,02/27/2017,03/01/2017
1169243,10/04/2011,07/12/2012
1169243,06/20/2013,10/09/2013
1169243,07/23/2015,07/23/2015
1169243,07/23/2015,09/22/2015
1181308,07/13/2012,08/04/2012
1181308,10/02/2012,05/28/2013
1191881,02/03/2012,07/16/2012
1191881,07/16/2012,01/18/2013
1191881,02/01/2013,05/02/2013
1191881,05/02/2013,10/10/2013
1191881,10/15/2013,02/22/2015
1195311,08/18/2014,09/29/2014
1195551,12/22/2014,01/19/2015
1197460,04/08/2013,08/06/2013
1200814,12/03/2014,12/03/2014
1201023,08/30/2016,02/08/2017
1201023,02/08/2017,02/10/2017
1201023,06/25/2017,
1205199,12/08/2016,03/23/2017
1205199,09/25/2017,
1205594,12/06/2016,03/01/2017
1221871,04/06/2016,01/31/2017
1221871,01/31/2017,02/22/2017
1221871,10/09/2017,
1230194,01/01/2004,03/31/2015
1238333,05/01/2014,06/19/2014
1239079,09/22/2011,04/12/2012
1249343,09/04/2014,03/18/2015
1249343,03/18/2015,06/12/2015
1258303,05/08/2013,07/15/2013
1258303,07/15/2013,10/21/2013
1261465,11/16/2012,12/05/2012
1261465,11/20/2012,12/05/2012
1262742,04/22/2015,06/05/2015
1264248,09/20/2011,06/18/2012
1264248,06/18/2012,12/03/2012
1264248,12/03/2012,02/26/2013
1264248,02/26/2013,11/14/2013
1264248,11/14/2013,03/06/2014
1264248,03/06/2014,05/02/2014
1264248,05/09/2014,01/07/2015
1264248,11/27/2015,03/11/2016
1271185,08/23/2011,12/03/2012
1271185,12/03/2012,09/18/2013
1271185,09/19/2013,08/13/2014
1271185,01/13/2017,02/22/2017
1271185,02/22/2017,
1271432,07/13/2014,10/09/2014
1271432,10/01/2014,05/01/2015
1271432,10/09/2014,10/16/2014
1274964,11/13/2015,12/02/2015
1282312,06/08/2015,07/31/2015
1282946,11/13/2014,12/05/2014
