"New ID","Placement start","Placement type","Legal status"
46167,05/15/2014,"U6","C1"
163054,07/26/2016,"U6","V2"
178188,12/12/2016,"U6","C1"
200159,03/20/2013,"Q2","C1"
280937,06/29/2014,"U6","L1"
354654,07/28/2012,"Q2","L1"
526031,09/09/2015,"U6","L1"
567068,05/20/2013,"Q2","L1"
612372,06/28/2016,"U6","L1"
929524,05/09/2014,"U6","V2"
931546,03/27/2017,"K1","J1"
956496,06/24/2014,"U6","V2"
1128698,09/06/2016,"U3","L1"
1128698,09/10/2016,"U3","V2"
1130867,05/30/2014,"U6","L1"
1149777,03/04/2013,"Q2","V2"
1195551,12/21/2014,"U6","L1"
1221871,04/06/2016,"H5","V2"
1744440,06/15/2015,"U6","L1"
1744440,09/16/2015,"P1","J1"
1744440,11/30/2015,"K2","V2"
1781942,01/18/2013,"H5","V2"
1781942,07/19/2013,"H5","V2"
1951601,12/07/2016,"U6","L1"
1983778,02/05/2014,"Q2","V2"
2174557,05/12/2014,"U6","V2"
2348252,07/30/2013,"Q2","V2"
2385607,06/02/2016,"U6","L1"
2572169,05/17/2013,"Q2","V2"
2651289,08/23/2012,"Q1","C1"
2793740,09/02/2016,"H5","V2"
2901591,06/25/2016,"K1","J1"
3049592,07/02/2013,"Q2","C1"
3140480,11/28/2013,"Q2","V2"
3241489,02/14/2017,"U6","V2"
3397958,06/02/2014,"U6","L1"
3435224,08/06/2015,"U6","L1"
3437648,10/24/2014,"H5","V2"
3672016,06/26/2015,"U6","V2"
3698984,08/17/2015,"U3","V2"
3907462,04/11/2014,"P2","V2"
4165640,09/18/2014,"U6","V2"
4441865,06/29/2016,"U6","C1"
4516026,09/13/2015,"U6","L1"
4542489,09/15/2012,"K1","J1"
4542489,03/11/2014,"H5","J1"
4547905,06/08/2012,"Q2","L1"
4771625,11/12/2012,"Q2","V2"
4895060,09/12/2016,"U6","V2"
4899807,04/15/2016,"U6","V2"
5152296,03/01/2013,"Q2","L1"
5242459,02/24/2015,"U6","V2"
5306379,05/22/2012,"Q2","L1"
5436336,09/09/2016,"U6","C1"
5707690,05/04/2012,"P1","C1"
5815849,03/12/2015,"U6","L1"
5863084,05/08/2012,"R2","C1"
5937467,04/15/2016,"R2","C1"
6088039,01/06/2016,"U6","L1"
6466576,09/05/2014,"U3","C1"
6629654,03/07/2016,"H5","V2"
6691549,07/28/2014,"R2","L1"
6838440,06/15/2015,"U6","L1"
6934816,11/26/2015,"H5","V2"
7021622,07/16/2014,"U6","V2"
7238162,08/06/2013,"Q2","C1"
7410721,02/03/2015,"U6","V2"
7466413,02/09/2015,"P1","C2"
7502185,09/17/2014,"U6","V2"
7531226,01/16/2013,"Q2","L1"
7531226,03/18/2013,"Q2","V2"
7531226,11/25/2013,"Q2","V2"
7653333,12/23/2015,"U3","V2"
7688550,11/28/2013,"U6","V2"
7688591,10/27/2014,"H5","V2"
7696192,11/04/2013,"Q2","L1"
7766622,11/15/2012,"Q2","V2"
7954295,03/13/2013,"Q2","V2"
8030360,11/08/2012,"Q2","L1"
8187894,10/29/2013,"Q1","V2"
8187894,04/21/2014,"U3","V2"
8205742,09/11/2014,"U6","L1"
8228348,03/04/2013,"Q2","V2"
8272869,01/19/2015,"U6","L1"
8430962,12/30/2015,"U6","L1"
8441283,09/12/2016,"R2","C1"
8552085,04/10/2015,"U6","V2"
8561684,07/27/2016,"H5","V2"
8942435,01/10/2014,"Q1","V2"
9001288,01/23/2015,"U6","V2"
9084363,10/21/2016,"U6","V2"
9172871,07/06/2012,"K1","J3"
9172871,01/28/2013,"K1","V2"
9276204,10/27/2015,"U6","V2"
9684708,07/26/2016,"U6","V2"
9737297,04/17/2014,"U6","C1"
9828099,07/09/2014,"K2","J1"
9828099,12/12/2014,"K2","J1"
9828099,05/09/2016,"H5","J1"
9836037,04/21/2015,"H5","V2"
9989814,03/05/2015,"U6","V2"
10026250,10/03/2015,"U6","L1"
10190707,06/01/2015,"U6","L1"
10305190,04/08/2013,"Q2","J1"
10386869,09/03/2012,"Q2","V2"
10445971,03/22/2013,"Q2","V2"
10460731,08/11/2016,"U3","V2"
10577618,02/14/2017,"U6","L1"
10626842,02/16/2017,"U6","C1"
10778020,06/23/2016,"U6","L1"
10781708,01/25/2013,"Q2","L1"
10781708,02/11/2016,"U6","L1"
10903667,08/03/2015,"U6","V2"
10990482,04/17/2015,"H5","J1"
10990482,05/13/2016,"H5","V2"
11020631,05/02/2013,"K1","J1"
11020631,11/19/2013,"R5","J1"
11020631,09/20/2014,"R5","J1"
11157191,06/10/2016,"U6","C1"
11164415,10/06/2014,"U6","V2"
11179795,12/31/2015,"H5","J1"
11179795,06/27/2016,"H5","J1"
11351223,11/16/2015,"H5","V2"
11549960,01/13/2014,"Q1","V2"
