New ID,Age at referral,Gender,Ethnicity,Ward,Referral date
7037,1,M,Black or Black British,White Hart Lane,05/03/2017
10648,3,F,White,Hornsey,08/03/2017
13676,0,F,White,West Green,09/09/2014
19099,8,F,Mixed,Stroud Green,05/16/2014
33187,8,F,Chinese or other ethnic group,Harringay,03/03/2017
37647,15,M,,,09/22/2014
43334,1,F,Chinese or other ethnic group,Woodside,11/03/2016
44707,8,M,Asian or Asian British,Northumberland Park,04/20/2014
57680,0,M,Black or Black British,Tottenham Green,04/09/2015
65034,13,M,Black or Black British,Bruce Grove,06/29/2016
65034,13,M,Black or Black British,Bruce Grove,12/07/2016
65034,13,M,Black or Black British,Bruce Grove,12/09/2016
67425,16,Female,White,Bruce Grove,07/02/2012
89705,17,F,Black or Black British,Muswell Hill,03/27/2017
104194,2,M,White,Noel Park,03/21/2016
107699,9,M,Mixed,Highgate,11/10/2016
122333,2,M,Black or Black British,St Ann's,12/18/2014
129650,4,Male,Black / African / Caribbean / Black British,Hornsey,07/02/2012
129650,7,M,Black or Black British,Hornsey,11/07/2014
134067,5,F,White,Northumberland Park,04/11/2016
139452,4,Male,White,Not Stated,05/24/2012
163054,16,M,Chinese or other ethnic group,,07/27/2016
187346,6,F,Black or Black British,Noel Park,10/29/2015
198471,15,M,Black or Black British,Stroud Green,03/09/2016
200159,0,Male,Black / African / Caribbean / Black British,,10/23/2012
200159,0,Male,Black / African / Caribbean / Black British,,02/20/2013
201885,17,Female,White,Northumberland Park,12/04/2012
201885,17,Female,White,Northumberland Park,11/09/2012
202836,3,Male,White,Alexandra,11/12/2012
202836,4,M,White,Alexandra,10/07/2014
208424,2,Female,Asian / Asian British,Not Stated,03/25/2013
220414,5,M,Mixed,Highgate,11/06/2015
232385,7,M,Black or Black British,Noel Park,01/18/2017
236521,17,F,Chinese or other ethnic group,Harringay,08/15/2016
257260,10,M,Black or Black British,,01/28/2015
257260,11,M,Black or Black British,,06/16/2015
268381,10,M,Black or Black British,White Hart Lane,03/23/2017
280937,4,F,White,White Hart Lane,10/16/2015
280937,4,F,White,White Hart Lane,12/18/2015
280937,4,F,White,White Hart Lane,03/23/2016
280937,5,F,White,White Hart Lane,12/15/2016
306939,0,F,White,West Green,02/02/2015
309610,3,Female,Black / African / Caribbean / Black British,Stroud Green,01/28/2013
323644,17,M,Black or Black British,Northumberland Park,07/04/2017
323644,17,M,Black or Black British,Northumberland Park,09/06/2017
327890,0,U,,Harringay,07/26/2017
328952,15,M,Black or Black British,St Ann's,10/26/2015
338925,8,F,White,Tottenham Hale,05/10/2016
354654,0,Female,Black / African / Caribbean / Black British,,07/28/2012
355476,4,Female,Other Ethnic Group,Alexandra,06/27/2012
374647,11,F,Not stated,,09/05/2017
402703,9,Female,Asian / Asian British,Tottenham Green,01/25/2013
448779,1,F,White,Bruce Grove,05/28/2014
457441,5,F,Black or Black British,White Hart Lane,06/17/2016
472006,3,F,Asian or Asian British,Woodside,06/30/2017
486249,7,F,,Noel Park,05/17/2014
502390,11,M,White,Bounds Green,03/24/2016
503612,13,F,Black or Black British,Tottenham Hale,10/23/2017
510830,1,M,Black or Black British,Harringay,09/15/2017
516306,12,F,White,Tottenham Green,11/24/2014
518871,,U,White,Northumberland Park,10/15/2015
522324,17,M,Black or Black British,,10/27/2017
526031,5,M,White,,09/09/2015
545082,14,F,White,Tottenham Green,12/06/2016
548123,17,F,Chinese or other ethnic group,Woodside,10/19/2017
566321,14,M,Black or Black British,,03/28/2017
567068,10,F,Black or Black British,St Ann's,04/27/2017
581417,0,F,Chinese or other ethnic group,Northumberland Park,01/08/2016
584990,0,M,Mixed,St Ann's,10/20/2015
589301,1,M,Black or Black British,St Ann's,08/08/2016
599590,0,M,Mixed,Northumberland Park,07/22/2015
608870,5,M,Mixed,Northumberland Park,12/12/2016
612372,16,F,Black or Black British,Tottenham Hale,06/27/2016
641239,4,F,White,,09/11/2017
648063,7,M,White,Crouch End,01/18/2017
658379,3,Male,Black / African / Caribbean / Black British,Harringay,04/21/2012
658379,5,M,Black or Black British,,06/02/2014
