New ID,S47 Start Date,S47 End Date
13676,9/26/2014,10/6/2014
33187,3/14/2017,3/20/2017
37647,10/15/2014,10/15/2014
67425,8/13/2012,8/21/2012
174465,5/11/2012,5/14/2012
178145,5/4/2012,8/4/2013
200159,12/7/2012,12/10/2012
202836,10/20/2014,10/24/2014
257260,7/17/2015,7/31/2015
257260,2/24/2015,2/25/2015
280937,5/3/2017,5/3/2017
327890,8/9/2017,8/9/2017
354654,9/12/2012,9/25/2012
402703,2/19/2013,3/13/2013
457441,6/24/2016,6/28/2016
470396,10/24/2014,11/30/2014
486249,5/29/2014,6/13/2014
522324,11/14/2017,11/14/2017
526031,9/23/2015,9/24/2015
584990,12/23/2015,12/23/2015
589301,8/24/2016,8/24/2016
612372,6/30/2016,7/20/2016
637219,10/29/2015,11/6/2015
641239,9/25/2017,10/2/2017
648063,1/31/2017,1/31/2017
658379,6/21/2012,7/19/2012
658379,8/12/2014,8/28/2014
685447,4/19/2016,4/19/2016
708809,11/21/2016,11/21/2016
717055,2/25/2013,3/12/2013
771297,4/23/2014,4/23/2014
772954,8/24/2015,8/25/2015
775862,9/29/2017,10/24/2017
840518,6/24/2016,6/28/2016
844092,6/7/2012,6/13/2012
854796,6/16/2014,8/29/2014
854835,10/24/2016,10/24/2016
855177,9/18/2017,9/18/2017
855177,8/14/2017,8/17/2017
862288,10/15/2016,10/15/2016
872767,9/21/2017,9/29/2017
872767,9/25/2017,10/3/2017
896321,10/21/2016,10/24/2016
897334,7/8/2016,7/21/2016
912787,3/9/2015,3/18/2015
922693,5/7/2015,5/21/2015
929524,4/14/2014,4/28/2014
940910,10/7/2016,10/11/2016
956496,8/19/2014,8/19/2014
956496,6/25/2014,8/15/2014
966379,10/16/2015,10/19/2015
974760,6/30/2015,6/30/2015
1019279,6/25/2012,7/10/2012
1019805,2/23/2017,2/23/2017
1024607,3/31/2014,6/18/2014
1031530,8/9/2016,8/10/2016
1031530,2/16/2017,2/23/2017
1040801,7/18/2012,8/8/2012
1062615,11/7/2017,11/8/2017
1068505,6/20/2016,6/24/2016
